ID,Name,Latitude,Longitude,Population,Country_RegionID
0,Australian Capital Territory,-35.4735,149.0124,431200,8
1,New South Wales,-33.8688,151.2093,8166400,8
2,Northern Territory,-12.4634,130.8456,246500,8
3,Queensland,-27.4698,153.0251,5184800,8
4,South Australia,-34.9285,138.6007,1770600,8
5,Tasmania,-42.8821,147.3272,541100,8
6,Victoria,-37.8136,144.9631,6680600,8
7,Western Australia,-31.9505,115.8605,2667100,8
8,Anhui,31.8257,117.2264,59500510,36
9,Beijing,40.1824,116.4142,19612368,36
10,Chongqing,30.0572,107.874,28846170,36
11,Fujian,26.0789,117.9874,36894216,36
12,Gansu,35.7518,104.2861,25575254,36
13,Guangdong,23.3417,113.4244,104303132,36
14,Guangxi,23.8298,108.7881,46026629,36
15,Guizhou,26.8154,106.8748,34746468,36
16,Hainan,19.1959,109.7453,9171300,36
17,Hebei,39.549,116.1306,71854202,36
18,Heilongjiang,47.862,127.7615,38312224,36
19,Henan,37.8957,114.9042,94023567,36
20,Hong Kong,22.3,114.2,7061200,36
21,Hubei,30.9756,112.2707,57237740,36
22,Hunan,27.6104,111.7088,65683722,36
23,Inner Mongolia,44.0935,113.9448,24706321,36
24,Jiangsu,32.9711,119.455,78659903,36
25,Jiangxi,27.614,115.7221,44567475,36
26,Jilin,43.6661,126.1923,27462297,36
27,Liaoning,41.2956,122.6085,43746323,36
28,Macau,22.1667,113.55,552300,36
29,Ningxia,37.2692,106.1655,6301350,36
30,Qinghai,35.7452,95.9956,5626722,36
31,Shaanxi,35.1917,108.8701,37327378,36
32,Shandong,36.3427,118.1498,95793065,36
33,Shanghai,31.202,121.4491,23019148,36
34,Shanxi,37.5777,112.2922,37327378,36
35,Sichuan,30.6171,102.7103,80418200,36
36,Tianjin,39.3054,117.323,12938224,36
37,Tibet,31.6927,88.0924,3002166,36
38,Xinjiang,41.1129,85.2401,21813334,36
39,Yunnan,24.974,101.487,45966239,36
40,Zhejiang,29.1832,120.0934,54426891,36
41,Faroe Islands,61.8926,-6.9118,52154,47
42,Greenland,71.7069,-42.6043,56081,47
43,French Guiana,3.9339,-53.1258,298682,61
44,French Polynesia,-17.6797,149.4068,280908,61
45,Guadeloupe,16.265,-61.551,400124,61
46,Martinique,14.6415,-61.0242,375265,61
47,Mayotte,-12.8275,45.166244,272815,61
48,New Caledonia,-20.904305,165.618042,285498,61
49,Reunion,-21.1151,55.5364,859959,61
50,Saint Barthelemy,17.9,-62.8333,9877,61
51,Saint Pierre and Miquelon,46.8852,-56.3159,5347,61
52,St Martin,18.0708,-63.0501,32556,61
53,Wallis and Futuna,-14.2938,-178.1165,11239,61
54,Aruba,12.5211,-69.9683,106766,122
55,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,25987,122
56,Curacao,12.1696,-68.99,164093,122
57,Sint Maarten,18.0425,-63.0548,42876,122
58,Anguilla,18.2206,-63.0686,15003,179
59,Bermuda,32.3078,-64.7505,62278,179
60,British Virgin Islands,18.4207,-64.64,30231,179
61,Cayman Islands,19.3133,-81.2546,65786,179
62,Channel Islands,49.3723,-2.3644,173863,179
63,Falkland Islands (Malvinas),-51.7963,-59.5236,3480,179
64,Gibraltar,36.1408,-5.3536,34003,179
65,Isle of Man,54.2361,-4.5481,90499,179
66,Montserrat,16.742498,-62.187366,4992,179
67,"Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,4608000,179
68,Turks and Caicos Islands,21.694,-71.7979,44543,179
69,Alabama,32.318231,-86.902298,4903185,181
70,Alaska,63.588753,-154.493062,5644180,181
71,American Samoa,-14.271,-170.132,55641,181
72,Arizona,34.048928,-111.093731,7278717,181
73,Arkansas,35.20105,-91.831833,3017804,181
74,California,36.778261,-119.417932,39512223,181
75,Colorado,39.550051,-105.782067,5758736,181
76,Connecticut,41.603221,-73.087749,3565287,181
77,Delaware,38.910832,-75.52767,973764,181
78,District of Columbia,38.905985,-77.033418,705749,181
79,Florida,27.664827,-81.515754,21477737,181
80,Georgia,32.157435,-82.907123,10617423,181
81,Guam,13.4443,144.7937,164229,181
82,Hawaii,19.898682,-155.665857,1415872,181
83,Idaho,44.068202,-114.742041,1787065,181
84,Illinois,40.633125,-89.398528,12671821,181
85,Indiana,40.551217,-85.602364,6732219,181
86,Iowa,41.878003,-93.097702,3155070,181
87,Kansas,39.011902,-98.484246,2913314,181
88,Kentucky,37.839333,-84.270018,4467673,181
89,Louisiana,31.244823,-92.145024,4648794,181
90,Maine,45.253783,-69.445469,1344212,181
91,Maryland,39.045755,-76.641271,6045680,181
92,Massachusetts,42.407211,-71.382437,6892503,181
93,Michigan,44.314844,-85.602364,9986857,181
94,Minnesota,46.729553,-94.6859,5639632,181
95,Mississippi,32.354668,-89.398528,2976149,181
96,Missouri,37.964253,-91.831833,6626371,181
97,Montana,46.879682,-110.362566,1068778,181
98,Nebraska,41.492537,-99.901813,1934408,181
99,Nevada,38.80261,-116.419389,3080156,181
100,New Hampshire,43.193852,-71.572395,1359711,181
101,New Jersey,40.058324,-74.405661,8882190,181
102,New Mexico,34.97273,-105.032363,2096829,181
103,New York,43.299428,-74.217933,19453561,181
104,North Carolina,35.759573,-79.0193,10488084,181
105,North Dakota,47.551493,-101.002012,762062,181
106,Northern Mariana Islands,15.0979,145.6739,55144,181
107,Ohio,40.417287,-82.907123,11689100,181
108,Oklahoma,35.007752,-97.092877,3956971,181
109,Oregon,43.804133,-120.554201,4217737,181
110,Pennsylvania,41.203322,-77.194525,12801989,181
111,Puerto Rico,18.220833,-66.590149,3754939,181
112,Rhode Island,41.580095,-71.477429,1059361,181
113,South Carolina,33.836081,-81.163725,5148714,181
114,South Dakota,43.969515,-99.901813,884659,181
115,Tennessee,35.517491,-86.580447,6829174,181
116,Texas,31.968599,-99.901813,28995881,181
117,Utah,39.32098,-111.093731,3205958,181
118,Vermont,44.558803,-72.577841,623989,181
119,Virgin Islands,18.3358,-64.8963,107268,181
120,Virginia,37.431573,-78.656894,8535519,181
121,Washington,47.751074,-120.740139,7614893,181
122,West Virginia,38.597626,-80.454903,1792147,181
123,Wisconsin,43.78444,-88.787868,5822434,181
124,Wyoming,43.075968,-107.290284,578759,181
